SSN,First Name,Last Name,Sex,DOB,City,State
256 64 6612,Homer,Simpson,M,05/12/51,Springfield,Oregon
216 26 5344,Marge,Simpson,F,03/19/53,Springfield,Oregon
823 86  7320,Bart,Simpson,M,04/01/80,Springfield,Oregon
510 34 1122,Lisa,Simpson,F,05/09/82,Springfield,Oregon
657 56 3627,Maggie,Simpson,F,01/12/89,Springfield,Oregon
898 57 5267,Abraham,Simpson,M,05/25/03,Springfield,Oregon
273 20 2264,Mona,Simpson,F,01/01/24,Springfield,Oregon
971 29 5863,Ned,Flanders,M,01/01/30,Springfield,Oregon
786 74 6887,Lenny,Leonard,M,04/13/51,Springfield,Oregon
239 66 0225,Carl,Carlson,M,04/20/51,Springfield,Oregon
824 92 7571,Barney,Gumble,M,04/20/50,Springfield,Oregon
142 43 0923,Otto,Mann,M,01/18/61,Springfield,Oregon
135 29 1607,Comic Book Guy ,,M,01/01/45,Springfield,Oregon
325 67 9681,Clancy,Wiggum,M,04/28/47,Springfield,Oregon
329 37 7914,Charles,Burns,M,09/15/86,Springfield,Oregon
894 28 7059,Herschel,Krustofski,M,01/15/37,Springfield,Oregon
438 29 8280,Moe,Szyslak,M,11/24/36,Springfield,Oregon
248 59 4029,Jimbo,Jones,M,10/26/74,Springfield,Oregon
249 94 7785,Kearney ,Zzywicz,M,10/09/61,Springfield,Oregon
516 82 4848,Dolph,Starbean,M,10/01/76,Springfield,Oregon
649 06 1037,Timothy,Lovejoy,M,01/01/53,Springfield,Oregon
455 83 1801,Helen,Lovejoy,F,01/01/55,Springfield,Oregon
157 00 9759,Jasper,Beardly,M,10/25/00,Springfield,Oregon
237 24 6200,Hans,Moleman,M,08/02/59,Springfield,Oregon
359 96 0123,Patty,Bouvier,F,01/01/46,Springfield,Oregon
352 17 9736,Selma,Bouvier,F,01/01/46,Springfield,Oregon
434 59 0855,Ling,Bouvier,F,01/11/88,Springfield,Oregon
757 11 7931,Apu,Nahasapeemapetilon ,M,01/01/52,Springfield,Oregon
393 81 8244,Seymour,Skinner,M,11/01/44,Springfield,Oregon
552 12 1639,Joe,Quimby,M,01/01/46,Springfield,Oregon
981 15 6984,Nelson,Muntz,M,10/30/79,Springfield,Oregon
786 69 2755,Waylon,Smithers,M,12/25/54,Springfield,Oregon
999 23 3103,Manjula,Nahasapeemapetilon ,F,01/01/54,Springfield,Oregon
892 00 6317,Amber,Simpson,F,01/01/77,Springfield,Oregon
